SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
391,1391,25-Jul,c,1-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
392,1392,25-Jul,c,2-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
393,1393,1-Aug,c,2-Aug,c,,,,,
394,1394,16-Jul,c,20-Jul,c,,,,,
395,1395,17-Jul,c,19-Jul,c,,,,,
396,1396,28-Jul,c,5-Aug,c,,,,,
397,1397,20-Jul,c,22-Jul,c,,,,,
398,1398,20-Jul,c,22-Jul,c,,,,,
399,1399,20-Jul,c,22-Jul,c,,,,,
400,1400,26-Jul,c,25-Jul,c,,,,,
401,2001,23-Jul,c,27-Jul,c,,,,,
402,2002,18-Jul,c,22-Jul,c,whole population tessale and silking time is uniform,,,,
403,2003,21-Jul,c,28-Jul,c,,,,,
404,2004,15-Jul,c,16-Jul,c,Anthers looks bigger size,,,,
405,2005,1-Aug,c,2-Aug,c,,,,,
406,2006,22-Jul,c,29-Jul,c,,,,,
407,2007,17-Jul,c,21-Jul,c,,,,,
408,2008,27-Jul,c,29-Jul,c,,,,,
409,2009,28-Jul,c,29-Jul,c,,,,,
410,2010,28-Jul,c,5-Aug,c,,,,,
411,2011,14-Jul,c,12-Jul,c,,,,,
412,2012,27-Jul,c,29-Jul,c,,,,,
413,2013,22-Jul,c,24-Jul,c,,,,,
414,2014,22-Jul,c,27-Jul,c,,,,,
415,2015,14-Jul,c,17-Jul,c,,,,,
416,2016,17-Jul,c,21-Jul,c,,,,,
417,2017,20-Jul,c,23-Jul,c,,,,,
418,2018,21-Jul,c,23-Jul,c,,,,,
419,2019,29-Jul,c,8-Aug,w,,,,,
420,2020,27-Jul,c,29-Jul,c,,,,,
421,2021,23-Jul,c,27-Jul,c,,,,,
422,2022,2-Aug,c,8-Aug,c,,,,,
423,2023,27-Jul,c,12-Aug,w,Yellow lesions on leaves,,,,
424,2024,14-Jul,c,79,c,,,,,
425,2025,18-Jul,c,22-Jul,c,Tassels bent; big/ heavier anther on it,,,,
426,2026,23-Jul,c,28-Jul,c,,,,,
427,2027,12-Jul,c,12-Jul,c,,,,,
428,2028,27-Jul,c,29-Jul,c,,,,,
429,2029,14-Jul,c,16-Jul,c,,,,,
430,2030,18-Jul,c,22-Jul,c,,,,,
431,2031,16-Jul,c,18-Jul,c,,,,,
432,2032,26-Jul,c,28-Jul,c,,,,,
433,2033,23-Jul,c,26-Jul,c,,,,,
434,2034,16-Jul,c,18-Jul,c,,,,,
435,2035,10-Aug,c,28-Aug,c,empty tassel and cobs,,,,
436,2036,16-Jul,c,17-Jul,c,,,,,
437,2037,21-Jul,c,31-Jul,w,,,,,
438,2038,20-Jul,c,22-Jul,c,,,,,
439,2039,27-Jul,c,1-Aug,w,,,,,
440,2040,28-Jul,c,1-Aug,w,,,,,
441,2041,20-Jul,c,23-Jul,c,,,,,
442,2042,24-Jul,Cc,26-Jul,c,,,,,
443,2043,12-Jul,c,16-Jul,c,"Auxilerry banches? , or tillers, 3-4 cobs per plant",,,,
444,2044,16-Jul,c,18-Jul,c,Purple pigmentation on stem and cobs,,,,
445,2045,16-Jul,c,18-Jul,c,Pink silk,,,,
446,2046,26-Jul,c,3-Aug,w,,,,,
447,2047,28-Jul,c,2-Aug,w,,,,,
448,2048,27-Jul,c,1-Aug,w,,,,,
449,2049,26-Jul,c,29-Jul,c,,,,,
450,2050,9-Jul,c,11-Jul,c,,,,,
451,2051,27-Jul,c,29-Jul,c,,,,,
452,2052,26-Jul,c,2-Aug,c,,,,,
453,2053,27-Jul,c,30-Jul,c,,,,,
454,2054,26-Jul,c,29-Jul,c,,,,,
455,2055,23-Jul,c,27-Jul,c,,,,,
456,2056,21-Jul,c,23-Jul,c,,,,,
457,2057,24-Jul,c,26-Jul,c,,,,,
458,2058,14-Jul,c,16-Jul,c,,,,,
459,2059,18-Jul,c,22-Jul,c,,,,,
460,2060,29-Jul,c,8-Aug,w,,,,,
461,2061,23-Jul,c,26-Jul,c,,,,,
462,2062,20-Aug,c,23-Aug,w,,,,,
463,2063,8-Aug,c,13-Aug,w,,,,,
464,2064,3-Jul,c,Na,w,,,,,
465,2065,23-Jul,c,28-Jul,c,,,,,
466,2066,30-Jul,c,30-Jul,c,,,,,
467,2067,7-Aug,c,22-Aug,c,,,,,
468,2068,28-Jul,c,2-Aug,w,,,,,
469,2069,27-Jul,c,28-Jul,c,,,,,
470,2070,22-Jul,c,27-Jul,c,,,,,
471,2071,7-Aug,w,2-Aug,w,,,,,
472,2072,gap,c,gap,c,,,,,
473,2073,8-Aug,c,3-Aug,c,,,,,
474,2074,19-Aug,c,20-Aug,c,,,,,
475,2075,30-Jul,c,3-Aug,w,,,,,
476,2076,4-Aug,w,8-Aug,w,,,,,
477,2077,12-Aug,w,16-Aug,w,,,,,
478,2078,30-Jul,c,8-Aug,w,,,,,
479,2079,1-Sep,c,NA,c,,,,,
480,2080,1-Sep,c,NA,c,,,,,
481,2081,4-Aug,w,8-Aug,w,,,,,
482,2082,3-Aug,w,5-Aug,w,"Tassels are damged due to high te,mp",,,,
483,2083,30-Jul,c,5-Aug,w,,,,,
484,2084, 7/20,c,23-Jul,c,,,,,
485,2085,16-Jul,c,16-Jul,c,,,,,
486,2086,1-Aug,w,3-Aug,w,,,,,
487,2087,27-Jul,c,30-Jul,c,,,,,
488,2088,9-Aug,w,12-Aug,w,,,,,
489,2089,28-Jul,c,30-Jul,c,,,,,
490,2090,9-Aug,w,12-Aug,w,,,,,
491,2091,7-Aug,w,19-Aug,c,,,,,
492,2092,30-Jul,c,8-Aug,w,,,,,
493,2093,13-Jul,c,15-Jul,c,,,,,
494,2094,4-Aug,w,10-Aug,w,,,,,
495,2095,23-Aug,c,na,c,Tassels are drying due to high temp,,,,
496,2096,28-Jul,c,3-Aug,w,,,,,
497,2097,23-Jul,c,29-Jul,c,,,,,
498,2098,22-Jul,c,31-Jul,c,,,,,
499,2099,19-Jul,c,23-Jul,c,,,,,
500,2100,19-Jul,c,22-Jul,c,,,,,
501,2101,17-Jul,c,18-Jul,c,,,,,
502,2102,9-Aug,w,19-Aug,c,,,,,
503,2103,27-Jul,c,3-Aug,w,,,,,
504,2104,20-Jul,c,23-Jul,c,,,,,
505,2105,20-Jul,c,24-Jul,c,,,,,
506,2106,28-Jul,c,30-Jul,c,,,,,
507,2107,22-Jul,c,26-Jul,c,,,,,
508,2108,26-Jul,c,30-Jul,c,Tassels are damged due to high temp,,,,
509,2109,4-Aug,w,19-Aug,c,"Few cobs , rest of the plots damged due to high temp(dried)",,,,
510,2110,20-Aug,c,23-Aug,c,,,,,
511,2111,4-Aug,w,20-Aug,c,Tassel damged and abnormal silking,,,,
512,2112,1-Sep,c,Na,c,"Tassel is drying while its still inside flag leaf, due to high temp",,,,
513,2113,29-Jul,c,1-Aug,w,,,,,
514,2114,20-Jul,c,23-Jul,c,,,,,
515,2115,21-Aug,c,30-Aug,c,,,,,
516,2116,3-Aug,w,4-Aug,w,,,,,
517,2117,6-Aug,w,14-Aug,w,,,,,
518,2118,29-Jul,c,7-Aug,w,,,,,
519,2119,4-Aug,w,14-Aug,w,,,,,
520,2120,28-Jul,c,1-Aug,c,,,,,
521,2121,21-Aug,c,5-Sep,c,,,,,
522,2122,27-Jul,c,29-Jul,c,,,,,
523,2123,8-Aug,w,8-Aug,w,,,,,
524,2124,22-Aug,c,na,c,,,,,
525,2125,18-Jul,c,22-Jul,c,,,,,
526,2126,20-Aug,c,na,c,Yellow lesions on leaves,,,,
527,2127,18-Jul,c,22-Jul,c,,,,,
528,2128,5-Aug,w,11-Aug,w,,,,,
529,2129,22-Jul,c,30-Jul,c,,,,,
530,2130,17-Jul,c,22-Jul,c,,,,,
531,2131,7-Aug,w,7-Aug,w,,,,,
532,2132,13-Aug,w,19-Aug,w,,,,,
533,2133,4-Aug,w,4-Aug,w,,,,,
534,2134,31-Jul,w,1-Aug,w,,,,,
535,2135,6-Aug,w,9-Aug,w,,,,,
536,2136,19-Jul,c,22-Jul,c,,,,,
537,2137,9-Aug,w,22-Aug,c,Tassel is in Purple color,,,,
538,2138,12-Aug,w,12-Aug,w,,,,,
539,2139,19-Aug,c,23-Aug,c,,,,,
540,2140,18-Jul,c,21-Jul,c,,,,,
541,2141,25-Jul,c,28-Jul,c,,,,,
542,2142,27-Jul,c,30-Jul,c,,,,,
543,2143,23-Jul,c,26-Jul,c,,,,,
544,2144,24-Jul,c,27-Jul,c,,,,,
545,2145,14-Jul,c,17-Jul,c,,,,,
546,2146,10-Jul,c,13-Jul,c,,,,,
547,2147,12-Jul,c,14-Jul,c,,,,,
548,2148,22-Jul,c,27-Jul,c,,,,,
549,2149,1-Aug,w,5-Aug,w,,,,,
550,2150,26-Jul,c,30-Jul,c,,,,,
551,2151,19-Jul,c,22-Jul,c,,,,,
552,2152,23-Jul,c,27-Jul,c,,,,,
553,2153,20-Jul,c,27-Jul,c,,,,,
554,2154,23-Jul,c,28-Jul,c,,,,,
555,2155,25-Jul,c,28-Jul,c,,,,,
556,2156,18-Jul,c,22-Jul,c,,,,,
557,2157,22-Jul,c,28-Jul,c,,,,,
558,2158,28-Jul,c,3-Aug,w,,,,,
559,2159,27-Jul,c,30-Jul,c,,,,,
560,2160,19-Jul,c,25-Jul,c,,,,,
561,2161,18-Jul,c,17-Jul,c,,,,,
562,2162,26-Jul,c,29-Jul,c,,,,,
563,2163,31-Jul,c,1-Aug,c,,,,,
564,2164,21-Jul,c,21-Jul,c,,,,,
565,2165,27-Jul,c,30-Jul,c,,,,,
566,2166,23-Jul,c,26-Jul,c,,,,,
567,2167,27-Jul,c,30-Jul,c,,,,,
568,2168,27-Jul,c,31-Jul,c,,,,,
569,2169,24-Jul,c,27-Jul,c,,,,,
570,2170,27-Jul,c,2-Aug,c,,,,,
571,2171,1-Aug,c,6-Aug,c,,,,,
572,2172,15-Jul,c,18-Jul,c,,,,,
573,2173,26-Jul,c,29-Jul,c,,,,,
574,2174,6-Aug,c,9-Aug,c,,,,,
575,2175,24-Jul,c,20-Jul,c,,,,,
576,2176,18-Jul,c,30-Jul,c,,,,,
577,2177,23-Jul,c,26-Jul,c,,,,,
578,2178,9-Jul,c,11-Jul,c,,,,,
579,2179,23-Jul,c,27-Jul,c,,,,,
580,2180,22-Jul,c,26-Jul,c,,,,,
581,2181,27-Jul,c,30-Jul,c,,,,,
582,2182,26-Jul,c,1-Aug,c,,,,,
583,2183,18-Jul,c,21-Jul,c,,,,,
584,2184,21-Jul,c,29-Jul,c,,,,,
585,2185,16-Jul,c,19-Jul,c,,,,,
586,2186,25-Jul,c,30-Jul,c,,,,,
587,2187,16-Jul,c,18-Jul,c,,,,,
588,2188,26-Jul,c,2-Aug,c,,,,,
589,2189,16-Aug,w,23-Aug,w,,,,,
590,2190,14-Jul,c,13-Jul,c,,,,,
591,2191,16-Jul,c,18-Jul,c,,,,,
592,2192,16-Jul,c,18-Jul,c,,,,,
593,2193,23-Jul,c,30-Jul,c,,,,,
594,2194,26-Jul,c,30-Jul,c,,,,,
595,2195,14-Jul,c,17-Jul,c,,,,,
596,2196,13-Jul,c,14-Jul,c,,,,,
597,2197,17-Jul,c,18-Jul,c,,,,,
598,2198,22-Jul,c,28-Jul,c,,,,,
599,2199,23-Jul,c,30-Jul,c,,,,,
600,2200,16-Jul,c,18-Jul,c,,,,,
601,2201,10-Jul,c,13-Jul,c,,,,,
602,2202,16-Jul,c,19-Jul,c,,,,,
603,2203,22-Jul,c,27-Jul,c,,,,,
604,2204,2-Aug,c,9-Aug,c,,,,,
605,2205,25-Jul,c,3-Aug,c,Top leaves and tassels are damged due to high temp,,,,
606,2206,27-Jul,c,30-Jul,c,,,,,
607,2207,18-Jul,c,23-Jul,c,,,,,
608,2208,21-Jul,c,26-Jul,c,,,,,
609,2209,17-Jul,c,23-Jul,c,,,,,
610,2210,21-Jul,c,29-Jul,c,,,,,
611,2211,27-Jul,c,29-Jul,c,,,,,
612,2212,20-Jul,c,25-Jul,c,,,,,
613,2213,25-Jul,c,27-Jul,c,,,,,
614,2214,19-Jul,c,23-Jul,c,,,,,
615,2215,19-Jul,c,20-Jul,c,,,,,
616,2216,18-Aug,c,20-Aug,c,Tassels are drying due to high temp,,,,
617,2217,14-Jul,c,14-Jul,c,,,,,
618,2218,26-Jul,c,1-Aug,c,,,,,
619,2219,18-Jul,c,22-Jul,c,Top leaves and tassels are damged due to high temp,,,,
620,2220,20-Jul,c,26-Jul,c,,,,,
621,2221,24-Jul,c,27-Jul,c,,,,,
622,2222,22-Jul,c,27-Jul,c,,,,,
623,2223,22-Jul,c,27-Jul,c,,,,,
624,2224,12-Aug,w,18-Aug,c,,,,,
625,2225,20-Jul,c,23-Jul,c,,,,,
626,2226,20-Jul,c,27-Jul,c,,,,,
627,2227,5-May,c,8-Aug,c,,,,,
628,2228,26-Jul,c,2-Aug,c,Top leaves and tassels are damged due to high temp,,,,
629,2229,15-Jul,c,20-Jul,c,,,,,
630,2230,15-Jul,c,Jul-89,c,,,,,
631,2231,1-Aug,c,4-Aug,c,,,,,
632,2232,15-Jul,c,19-Jul,c,,,,,
633,2233,8-Jul,jt,9-Jul,jt,Male flower likel;y occurred 2days ago,,,,
634,2234,17-Jul,c,21-Jul,c,,,,,
635,2235,27-Jul,c,27-Jul,c,,,,,
636,2236,9-Jul,c,12-Jul,c,,,,,
637,2237,25-Jul,c,2-Aug,c,Top leaves and tassels are damged due to high temp,,,,
638,2238,15-Jul,c,19-Jul,c,,,,,
639,2239,23-Jul,c,27-Jul,c,,,,,
640,2240,12-Jul,c,10-Jul,c,,,,,
641,2241,11-Jul,c,17-Jul,c,,,,,
642,2242,13-Jul,c,15-Jul,c,,,,,
643,2243,17-Jul,c,19-Jul,c,,,,,
644,2244,23-Jul,c,30-Jul,c,Top leaves and tassels are damged due to high temp,,,,
645,2245,17-Jul,c,22-Jul,c,,,,,
646,2246,23-Jul,c,27-Jul,c,,,,,
647,2247,27-Jul,c,9-Aug,c,,,,,
648,2248,21-Jul,c,27-Jul,c,,,,,
649,2249,27-Jul,c,1-Aug,c,Top leaves and tassels are damged due to high temp,,,,
650,2250,16-Jul,c,18-Jul,c,,,,,
651,2251,6-Aug,c,9-Aug,c,,,,,
652,2252,26-Jul,c,4-Aug,c,,,,,
653,2253,19-Aug,c,25-Aug,c,Top leaves and tassels are damged due to high temp,,,,
654,2254,27-Jul,c,1-Aug,c,,,,,
655,2255,20-Jul,c,23-Jul,c,,,,,
656,2256,22-Jul,c,26-Jul,c,,,,,
657,2257,21-Jul,c,27-Jul,c,,,,,
658,2258,28-Jul,c,4-Aug,c,,,,,
659,2259,18-Jul,c,28-Jul,c,,,,,
660,2260,29-Jul,c,9-Aug,c,,,,,
661,2261,28-Jul,c,30-Jul,c,,,,,
662,2262,22-Jul,c,30-Jul,c,,,,,
663,2263,29-Jul,c,20-Aug,c,,,,,
664,2264,20-Jul,c,27-Jul,c,Top leaves and tassels are damged due to high temp,,,,
665,2265,20-Jul,c,28-Jul,c,,,,,
666,2266,17-Jul,c,21-Jul,c,,,,,
667,2267,12-Jul,c,16-Jul,c,,,,,
668,2268,23-Jul,c,27-Jul,c,,,,,
669,2269,25-Jul,c,2-Aug,c,Top leaves and tassels are damged due to high temp,,,,
670,2270,19-Jul,c,22-Jul,c,,,,,
671,2271,19-Jul,c,21-Jul,c,,,,,
672,2272,26-Jul,c,29-Jul,c,,,,,
673,2273,25-Jul,c,30-Jul,c,,,,,
674,2274,2-Aug,c,4-Aug,c,,,,,
675,2275,14-Jul,c,16-Jul,c,,,,,
676,2276,8-Aug,c,9-Aug,c,,,,,
677,2277,30-Jul,c,20-Aug,c,,,,,
678,2278,4-Aug,c,21-Aug,c,,,,,
679,2279,6-Aug,c,20-Aug,c,,,,,
680,2280,14-Jul,c,20-Jul,c,,,,,
681,2281,29-Jul,c,25-Aug,c,"only two cobs, plot is drying due to high temp",,,,
682,2282,23-Jul,c,27-Jul,c,Top leaves and tassels are damged due to high temp,,,,
683,2283,23-Jul,c,29-Jul,c,,,,,
684,2284,19-Jul,c,26-Jul,c,,,,,
685,2285,14-Jul,c,18-Jul,c,,,,,
686,2286,9-Aug,c,19-Aug,c,,,,,
687,2287,28-Jul,c,5-Aug,c,,,,,
688,2288,6-Aug,c,22-Aug,c,,,,,
689,2289,19-Jul,c,23-Jul,c,,,,,
690,2290,27-Jul,c,1-Aug,c,,,,,
691,2291,4-Aug,c,6-Aug,c,,,,,
692,2292,11-Aug,c,20-Aug,c,crop drying due to hig temp; cobs without silking,,,,
693,2293,26-Jul,c,5-Aug,c, tassels are damged due to high temp,,,,
694,2294,19-Jul,c,26-Jul,c,,,,,
695,2295,14-Jul,c,19-Jul,c,,,,,
696,2296,27-Jul,c,23-Aug,c,Top leaves and tassels are damged due to high temp,,,,
697,2297,29-Jul,c,2-Aug,c,,,,,
698,2298,10-Jul,jt,14-Jul,c,,,,,
699,2299,20-Jul,c,23-Jul,c,,,,,
700,2300,24-Jul,c,27-Jul,c,,,,,
701,2301,25-Jul,c,30-Jul,c,,,,,
702,2302,28-Jul,c,30-Jul,c,,,,,
703,2303,27-Jul,c,28-Jul,c,,,,,
704,2304,25-Jul,c,27-Jul,c,,,,,
705,2305,19-Jul,c,24-Jul,c,,,,,
706,2306,30-Jul,c,14-Aug,c,,,,,
707,2307,27-Jul,c,29-Jul,c,,,,,
708,2308,30-Jul,c,14-Aug,c,,,,,
709,2309,30-Jul,c,6-Aug,c,,,,,
710,2310,25-Jul,c,30-Jul,c,,,,,
711,2311,25-Jul,c,30-Jul,c,,,,,
712,2312,26-Jul,c,29-Jul,c,,,,,
713,2313,19-Jul,c,22-Jul,c,,,,,
714,2314,19-Jul,c,25-Jul,c,,,,,
715,2315,9-Aug,c,21-Aug,c,,,,,
716,2316,21-Jul,c,23-Jul,c,,,,,
717,2317,8-Jul,c,19-Jul,c,,,,,
718,2318,20-Jul,c,23-Jul,c,,,,,
719,2319,27-Jul,c,2-Aug,c,,,,,
720,2320,30-Jul,c,9-Aug,c,,,,,
721,2321,14-Jul,c,16-Jul,c,,,,,
722,2322,5-Aug,c,4-Aug,w,,,,,
723,2323,27-Jul,c,30-Jul,c,,,,,
724,2324,25-Jul,c,30-Jul,c,,,,,
725,2325,23-Jul,c,26-Jul,c,,,,,
726,2326,20-Jul,c,22-Jul,c,,,,,
727,2327,12-Jul,c,13-Jul,c,,,,,
728,2328,18-Jul,c,20-Jul,c,,,,,
729,2329,27-Jul,c,30-Jul,c,,,,,
730,2330,1-Aug,c,5-Aug,c,,,,,
731,2331,19-Jul,c,23-Jul,c,,,,,
732,2332,26-Jul,c,29-Jul,c,,,,,
733,2333,17-Jul,c,17-Jul,c,,,,,
734,2334,3-Aug,c,5-Aug,c,,,,,
735,2335,26-Jul,c,30-Jul,c,,,,,
736,2336,23-Jul,c,26-Jul,c,,,,,
737,2337,9-Aug,c,20-Aug,c,,,,,
738,2338,21-Jul,c,27-Jul,c,,,,,
739,2339,28-Jul,c,3-Aug,c,,,,,
740,2340,30-Jul,c,5-Aug,c,,,,,
741,2341,18-Jul,c,21-Jul,c,,,,,
742,2342,3-Sep,c,na,c,,,,,
743,2343,19-Jul,c,23-Jul,c,,,,,
744,2344,19-Jul,c,27-Jul,c,,,,,
745,2345,1-Aug,c,6-Aug,c,,,,,
746,2346,27-Jul,c,29-Jul,c,,,,,
747,2347,28-Jul,c,26-Jul,c,,,,,
748,2348,20-Jul,c,28-Jul,c,,,,,
749,2349,30-Jul,c,16-Aug,w,,,,,
750,2350,28-Jul,c,30-Jul,c,,,,,
751,2351,28-Jul,c,30-Jul,c,,,,,
752,2352,14-Aug,w,1-Sep,c,,,,,
753,2353,28-Jul,c,30-Jul,c,,,,,
754,2354,18-Jul,c,26-Jul,c,,,,,
755,2355,2-Sep,c,na,c,,,,,
756,2356,29-Jul,c,3-Aug,c,,,,,
757,2357,19-Jul,c,30-Jul,c,,,,,
758,2358,16-Jul,c,26-Jul,c,,,,,
759,2359,18-Jul,c,21-Jul,c,,,,,
760,2360,16-Jul,c,18-Jul,c,,,,,
761,2361,18-Jul,c,21-Jul,c,,,,,
762,2362,19-Jul,c,22-Jul,c,,,,,
763,2363,21-Jul,c,27-Jul,c,,,,,
764,2364,5-Aug,c,9-Aug,c,,,,,
765,2365,27-Jul,c,30-Jul,c,Top leaves and tassels are damged due to high temp,,,,
766,2366,25-Jul,c,30-Jul,c,,,,,
767,2367,3-Aug,c,4-Aug,c,,,,,
768,2368,23-Jul,c,30-Jul,c,,,,,
769,2369,28-Jul,c,11-Aug,c,,,,,
770,2370,20-Jul,c,27-Jul,c, tassels are damged due to high temp,,,,
771,2371,24-Jul,c,28-Jul,c,,,,,
772,2372,2-Aug,c,6-Aug,c,,,,,
773,2373,26-Jul,c,2-Aug,c,,,,,
774,2374,19-Jul,c,21-Jul,c,,,,,
775,2375,27-Jul,c,30-Jul,c,,,,,
776,2376,24-Jul,c,30-Jul,c,,,,,
777,2377,19-Jul,c,27-Jul,c,,,,,
778,2378,22-Jul,c,23-Jul,c,,,,,
779,2379,18-Jul,c,20-Jul,c,,,,,
780,2380,20-Jul,c,23-Jul,c,,,,,
781,2381,19-Jul,c,21-Jul,c,,,,,
782,2382,27-Jul,c,30-Jul,c,,,,,
783,2383,23-Jul,c,26-Jul,c,,,,,
784,2384,15-Jul,c,16-Jul,c,,,,,
785,2385,27-Jul,c,28-Jul,c,,,,,
786,2386,27-Jul,c,31-Jul,c,,,,,
787,2387,27-Jul,c,3-Aug,c,Top leaves and tassels are damged due to high temp,,,,
788,2388,"?, na",c,?na,c,,,,,
789,2389,27-Jul,c,30-Jul,c,,,,,
790,2390,26-Jul,c,4-Aug,c,,,,,
791,2391,1-Sep,c,na,c,Top leaves and tassels are damged due to high temp,,,,
792,2392,26-Jul,c,30-Jul,c,,,,,
793,2393,30-Jul,c,5-Aug,c,,,,,
794,2394,28-Jul,c,3-Aug,c,,,,,
795,2395,27-Jul,c,31-Jul,c,,,,,
796,2396,27-Jul,,30-Jul,,,,,,
797,2397,18-Jul,c,16-Jul,c,,,,,
798,2398,18-Jul,c,16-Jul,c,,,,,
799,2399,18-Jul,c,17-Jul,c,,,,,
800,2400,18-Jul,c,17-Jul,c,,,,,