modifiedRow,modifiedRange,originalRow,originalRange,plannedPlotNumber,plantedPlotNumber
1,1,21,BORDER,BORDER,BORDER
1,2,21,BORDER,BORDER,BORDER
1,3,21,1,1491,1001
1,4,21,2,1492,1002
1,5,21,3,1493,1003
1,6,21,4,1494,1004
1,7,21,5,1495,1005
1,8,21,6,1496,1006
1,9,21,7,1497,1007
1,10,21,8,1498,1008
1,11,21,9,1499,1009
1,12,21,10,1500,1010
1,13,21,11,1501,1011
1,14,21,12,1502,1012
1,15,21,13,1503,1013
1,16,21,14,1504,1014
1,17,21,15,1505,1015
1,18,21,16,1506,1016
1,19,21,17,1507,1017
1,20,21,18,1508,1018
1,21,21,19,1509,1019
1,22,21,20,1510,1020
1,23,21,21,FILL,1021
1,24,21,22,FILL,1022
1,25,21,23,FILL,1023
1,26,21,24,FILL,1024
1,27,21,25,FILL,1025
1,28,21,BORDER,BORDER,BORDER
1,29,21,BORDER,BORDER,BORDER
1,30,21,BORDER,BORDER,BORDER
2,1,20,BORDER,BORDER,BORDER
2,2,20,BORDER,BORDER,BORDER
2,3,20,1,1466,1026
2,4,20,2,1467,1027
2,5,20,3,1468,1028
2,6,20,4,1469,1029
2,7,20,5,1470,1030
2,8,20,6,1471,1031
2,9,20,7,1472,1032
2,10,20,8,1473,1033
2,11,20,9,1474,1034
2,12,20,10,1475,1035
2,13,20,11,1476,1036
2,14,20,12,1477,1037
2,15,20,13,1478,1038
2,16,20,14,1479,1039
2,17,20,15,1480,1040
2,18,20,16,1481,1041
2,19,20,17,1482,1042
2,20,20,18,1483,1043
2,21,20,19,1484,1044
2,22,20,20,1485,1045
2,23,20,21,1486,1046
2,24,20,22,1487,1047
2,25,20,23,1488,1048
2,26,20,24,1489,1049
2,27,20,25,1490,1050
2,28,20,BORDER,BORDER,BORDER
2,29,20,BORDER,BORDER,BORDER
2,30,20,BORDER,BORDER,BORDER
3,1,19,BORDER,BORDER,BORDER
3,2,19,BORDER,BORDER,BORDER
3,3,19,1,1441,1051
3,4,19,2,1442,1052
3,5,19,3,1443,1053
3,6,19,4,1444,1054
3,7,19,5,1445,1055
3,8,19,6,1446,1056
3,9,19,7,1447,1057
3,10,19,8,1448,1058
3,11,19,9,1449,1059
3,12,19,10,1450,1060
3,13,19,11,1451,1061
3,14,19,12,1452,1062
3,15,19,13,1453,1063
3,16,19,14,1454,1064
3,17,19,15,1455,1065
3,18,19,16,1456,1066
3,19,19,17,1457,1067
3,20,19,18,1458,1068
3,21,19,19,1459,1069
3,22,19,20,1460,1070
3,23,19,21,1461,1071
3,24,19,22,1462,1072
3,25,19,23,1463,1073
3,26,19,24,1464,1074
3,27,19,25,1465,1075
3,28,19,BORDER,BORDER,BORDER
3,29,19,BORDER,BORDER,BORDER
3,30,19,BORDER,BORDER,BORDER
4,1,18,BORDER,BORDER,BORDER
4,2,18,BORDER,BORDER,BORDER
4,3,18,1,1416,1076
4,4,18,2,1417,1077
4,5,18,3,1418,1078
4,6,18,4,1419,1079
4,7,18,5,1420,1080
4,8,18,6,1421,1081
4,9,18,7,1422,1082
4,10,18,8,1423,1083
4,11,18,9,1424,1084
4,12,18,10,1425,1085
4,13,18,11,1426,1086
4,14,18,12,1427,1087
4,15,18,13,1428,1088
4,16,18,14,1429,1089
4,17,18,15,1430,1090
4,18,18,16,1431,1091
4,19,18,17,1432,1092
4,20,18,18,1433,1093
4,21,18,19,1434,1094
4,22,18,20,1435,1095
4,23,18,21,1436,1096
4,24,18,22,1437,1097
4,25,18,23,1438,1098
4,26,18,24,1439,1099
4,27,18,25,1440,1100
4,28,18,BORDER,BORDER,BORDER
4,29,18,BORDER,BORDER,BORDER
4,30,18,BORDER,BORDER,BORDER
5,1,17,BORDER,BORDER,BORDER
5,2,17,BORDER,BORDER,BORDER
5,3,17,1,1391,1101
5,4,17,2,1392,1102
5,5,17,3,1393,1103
5,6,17,4,1394,1104
5,7,17,5,1395,1105
5,8,17,6,1396,1106
5,9,17,7,1397,1107
5,10,17,8,1398,1108
5,11,17,9,1399,1109
5,12,17,10,1400,1110
5,13,17,11,1401,1111
5,14,17,12,1402,1112
5,15,17,13,1403,1113
5,16,17,14,1404,1114
5,17,17,15,1405,1115
5,18,17,16,1406,1116
5,19,17,17,1407,1117
5,20,17,18,1408,1118
5,21,17,19,1409,1119
5,22,17,20,1410,1120
5,23,17,21,1411,1121
5,24,17,22,1412,1122
5,25,17,23,1413,1123
5,26,17,24,1414,1124
5,27,17,25,1415,1125
5,28,17,BORDER,BORDER,BORDER
5,29,17,BORDER,BORDER,BORDER
5,30,17,BORDER,BORDER,BORDER
6,1,16,BORDER,BORDER,BORDER
6,2,16,BORDER,BORDER,BORDER
6,3,16,1,1366,1126
6,4,16,2,1367,1127
6,5,16,3,1368,1128
6,6,16,4,1369,1129
6,7,16,5,1370,1130
6,8,16,6,1371,1131
6,9,16,7,1372,1132
6,10,16,8,1373,1133
6,11,16,9,1374,1134
6,12,16,10,1375,1135
6,13,16,11,1376,1136
6,14,16,12,1377,1137
6,15,16,13,1378,1138
6,16,16,14,1379,1139
6,17,16,15,1380,1140
6,18,16,16,1381,1141
6,19,16,17,1382,1142
6,20,16,18,1383,1143
6,21,16,19,1384,1144
6,22,16,20,1385,1145
6,23,16,21,1386,1146
6,24,16,22,1387,1147
6,25,16,23,1388,1148
6,26,16,24,1389,1149
6,27,16,25,1390,1150
6,28,16,BORDER,BORDER,BORDER
6,29,16,BORDER,BORDER,BORDER
6,30,16,BORDER,BORDER,BORDER
7,1,15,BORDER,BORDER,BORDER
7,2,15,BORDER,BORDER,BORDER
7,3,15,1,1341,1151
7,4,15,2,1342,1152
7,5,15,3,1343,1153
7,6,15,4,1344,1154
7,7,15,5,1345,1155
7,8,15,6,1346,1156
7,9,15,7,1347,1157
7,10,15,8,1348,1158
7,11,15,9,1349,1159
7,12,15,10,1350,1160
7,13,15,11,1351,1161
7,14,15,12,1352,1162
7,15,15,13,1353,1163
7,16,15,14,1354,1164
7,17,15,15,1355,1165
7,18,15,16,1356,1166
7,19,15,17,1357,1167
7,20,15,18,1358,1168
7,21,15,19,1359,1169
7,22,15,20,1360,1170
7,23,15,21,1361,FILL
7,24,15,22,1362,FILL
7,25,15,23,1363,FILL
7,26,15,24,1364,FILL
7,27,15,25,1365,FILL
7,28,15,BORDER,BORDER,BORDER
7,29,15,BORDER,BORDER,BORDER
7,30,15,BORDER,BORDER,BORDER
8,1,NA,BORDER,BORDER,BORDER
8,2,NA,BORDER,BORDER,BORDER
8,3,NA,BORDER,BORDER,BORDER
8,4,NA,BORDER,BORDER,BORDER
8,5,NA,BORDER,BORDER,BORDER
8,6,NA,BORDER,BORDER,BORDER
8,7,NA,BORDER,BORDER,BORDER
8,8,NA,BORDER,BORDER,BORDER
8,9,NA,BORDER,BORDER,BORDER
8,10,NA,BORDER,BORDER,BORDER
8,11,NA,BORDER,BORDER,BORDER
8,12,NA,BORDER,BORDER,BORDER
8,13,NA,BORDER,BORDER,BORDER
8,14,NA,BORDER,BORDER,BORDER
8,15,NA,BORDER,BORDER,BORDER
8,16,NA,BORDER,BORDER,BORDER
8,17,NA,BORDER,BORDER,BORDER
8,18,NA,BORDER,BORDER,BORDER
8,19,NA,BORDER,BORDER,BORDER
8,20,NA,BORDER,BORDER,BORDER
8,21,NA,BORDER,BORDER,BORDER
8,22,NA,BORDER,BORDER,BORDER
8,23,NA,BORDER,BORDER,BORDER
8,24,NA,BORDER,BORDER,BORDER
8,25,NA,BORDER,BORDER,BORDER
8,26,NA,BORDER,BORDER,BORDER
8,27,NA,BORDER,BORDER,BORDER
8,28,NA,BORDER,BORDER,BORDER
8,29,NA,BORDER,BORDER,BORDER
8,30,NA,BORDER,BORDER,BORDER
9,1,NA,BORDER,BORDER,BORDER
9,2,NA,BORDER,BORDER,BORDER
9,3,NA,BORDER,BORDER,BORDER
9,4,NA,BORDER,BORDER,BORDER
9,5,NA,BORDER,BORDER,BORDER
9,6,NA,BORDER,BORDER,BORDER
9,7,NA,BORDER,BORDER,BORDER
9,8,NA,BORDER,BORDER,BORDER
9,9,NA,BORDER,BORDER,BORDER
9,10,NA,BORDER,BORDER,BORDER
9,11,NA,BORDER,BORDER,BORDER
9,12,NA,BORDER,BORDER,BORDER
9,13,NA,BORDER,BORDER,BORDER
9,14,NA,BORDER,BORDER,BORDER
9,15,NA,BORDER,BORDER,BORDER
9,16,NA,BORDER,BORDER,BORDER
9,17,NA,BORDER,BORDER,BORDER
9,18,NA,BORDER,BORDER,BORDER
9,19,NA,BORDER,BORDER,BORDER
9,20,NA,BORDER,BORDER,BORDER
9,21,NA,BORDER,BORDER,BORDER
9,22,NA,BORDER,BORDER,BORDER
9,23,NA,BORDER,BORDER,BORDER
9,24,NA,BORDER,BORDER,BORDER
9,25,NA,BORDER,BORDER,BORDER
9,26,NA,BORDER,BORDER,BORDER
9,27,NA,BORDER,BORDER,BORDER
9,28,NA,BORDER,BORDER,BORDER
9,29,NA,BORDER,BORDER,BORDER
9,30,NA,BORDER,BORDER,BORDER
10,1,NA,BORDER,BORDER,BORDER
10,2,NA,BORDER,BORDER,BORDER
10,3,NA,BORDER,BORDER,BORDER
10,4,NA,BORDER,BORDER,BORDER
10,5,NA,BORDER,BORDER,BORDER
10,6,NA,BORDER,BORDER,BORDER
10,7,NA,BORDER,BORDER,BORDER
10,8,NA,BORDER,BORDER,BORDER
10,9,NA,BORDER,BORDER,BORDER
10,10,NA,BORDER,BORDER,BORDER
10,11,NA,BORDER,BORDER,BORDER
10,12,NA,BORDER,BORDER,BORDER
10,13,NA,BORDER,BORDER,BORDER
10,14,NA,BORDER,BORDER,BORDER
10,15,NA,BORDER,BORDER,BORDER
10,16,NA,BORDER,BORDER,BORDER
10,17,NA,BORDER,BORDER,BORDER
10,18,NA,BORDER,BORDER,BORDER
10,19,NA,BORDER,BORDER,BORDER
10,20,NA,BORDER,BORDER,BORDER
10,21,NA,BORDER,BORDER,BORDER
10,22,NA,BORDER,BORDER,BORDER
10,23,NA,BORDER,BORDER,BORDER
10,24,NA,BORDER,BORDER,BORDER
10,25,NA,BORDER,BORDER,BORDER
10,26,NA,BORDER,BORDER,BORDER
10,27,NA,BORDER,BORDER,BORDER
10,28,NA,BORDER,BORDER,BORDER
10,29,NA,BORDER,BORDER,BORDER
10,30,NA,BORDER,BORDER,BORDER
11,1,14,BORDER,BORDER,BORDER
11,2,14,BORDER,BORDER,BORDER
11,3,14,1,1321,1171
11,4,14,2,1322,1172
11,5,14,3,1323,1173
11,6,14,4,1324,1174
11,7,14,5,1325,1175
11,8,14,6,1326,1176
11,9,14,7,1327,1177
11,10,14,8,1328,1178
11,11,14,9,1329,1179
11,12,14,10,1330,1180
11,13,14,11,1331,1181
11,14,14,12,1332,1182
11,15,14,13,1333,1183
11,16,14,14,1334,1184
11,17,14,15,1335,1185
11,18,14,16,1336,1186
11,19,14,17,1337,1187
11,20,14,18,1338,1188
11,21,14,19,1339,1189
11,22,14,20,1340,1190
11,23,14,21,FILL,1191
11,24,14,22,FILL,1192
11,25,14,23,FILL,1193
11,26,14,24,FILL,1194
11,27,14,25,FILL,1195
11,28,14,BORDER,BORDER,BORDER
11,29,14,BORDER,BORDER,BORDER
11,30,14,BORDER,BORDER,BORDER
12,1,13,BORDER,BORDER,BORDER
12,2,13,BORDER,BORDER,BORDER
12,3,13,1,1296,1196
12,4,13,2,1297,1197
12,5,13,3,1298,1198
12,6,13,4,1299,1199
12,7,13,5,1300,1200
12,8,13,6,1301,1201
12,9,13,7,1302,1202
12,10,13,8,1303,1203
12,11,13,9,1304,1204
12,12,13,10,1305,1205
12,13,13,11,1306,1206
12,14,13,12,1307,1207
12,15,13,13,1308,1208
12,16,13,14,1309,1209
12,17,13,15,1310,1210
12,18,13,16,1311,1211
12,19,13,17,1312,1212
12,20,13,18,1313,1213
12,21,13,19,1314,1214
12,22,13,20,1315,1215
12,23,13,21,1316,1216
12,24,13,22,1317,1217
12,25,13,23,1318,1218
12,26,13,24,1319,1219
12,27,13,25,1320,1220
12,28,13,BORDER,BORDER,BORDER
12,29,13,BORDER,BORDER,BORDER
12,30,13,BORDER,BORDER,BORDER
13,1,12,BORDER,BORDER,BORDER
13,2,12,BORDER,BORDER,BORDER
13,3,12,1,1271,1221
13,4,12,2,1272,1222
13,5,12,3,1273,1223
13,6,12,4,1274,1224
13,7,12,5,1275,1225
13,8,12,6,1276,1226
13,9,12,7,1277,1227
13,10,12,8,1278,1228
13,11,12,9,1279,1229
13,12,12,10,1280,1230
13,13,12,11,1281,1231
13,14,12,12,1282,1232
13,15,12,13,1283,1233
13,16,12,14,1284,1234
13,17,12,15,1285,1235
13,18,12,16,1286,1236
13,19,12,17,1287,1237
13,20,12,18,1288,1238
13,21,12,19,1289,1239
13,22,12,20,1290,1240
13,23,12,21,1291,1241
13,24,12,22,1292,1242
13,25,12,23,1293,1243
13,26,12,24,1294,1244
13,27,12,25,1295,1245
13,28,12,BORDER,BORDER,BORDER
13,29,12,BORDER,BORDER,BORDER
13,30,12,BORDER,BORDER,BORDER
14,1,11,BORDER,BORDER,BORDER
14,2,11,BORDER,BORDER,BORDER
14,3,11,1,1246,1246
14,4,11,2,1247,1247
14,5,11,3,1248,1248
14,6,11,4,1249,1249
14,7,11,5,1250,1250
14,8,11,6,1251,1251
14,9,11,7,1252,1252
14,10,11,8,1253,1253
14,11,11,9,1254,1254
14,12,11,10,1255,1255
14,13,11,11,1256,1256
14,14,11,12,1257,1257
14,15,11,13,1258,1258
14,16,11,14,1259,1259
14,17,11,15,1260,1260
14,18,11,16,1261,1261
14,19,11,17,1262,1262
14,20,11,18,1263,1263
14,21,11,19,1264,1264
14,22,11,20,1265,1265
14,23,11,21,1266,1266
14,24,11,22,1267,1267
14,25,11,23,1268,1268
14,26,11,24,1269,1269
14,27,11,25,1270,1270
14,28,11,BORDER,BORDER,BORDER
14,29,11,BORDER,BORDER,BORDER
14,30,11,BORDER,BORDER,BORDER
15,1,10,BORDER,BORDER,BORDER
15,2,10,BORDER,BORDER,BORDER
