Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4191,17,9,3.9,8.3,9.9,18.24,5,4.7,8.2,9.9,19.57,5,LL/KL
HYB-Hips ,4190,16,9,3.8,7.9,10.3,23.87,6,4.3,8.2,9.7,23.98,6,LL/KL
HYB-Hips ,4189,15,9,3.9,7.4,9.2,31.26,7,3.5,7,9.3,35.34,7,LL/KL
HYB-Hips ,4188,14,9,4,7.9,9.8,24.82,6,3.9,7.9,9.7,19.41,8,LL/KL
HYB-Hips ,4187,13,9,4,7.1,8.7,15.37,5,4.2,7.3,9.1,18.22,5,LL/KL
HYB-Hips ,4186,12,9,2.7,6.7,8.3,22.01,6,2.8,6.1,8.3,24.94,5,LL/KL
HYB-Hips ,4185,11,9,2.9,6.8,8.2,17.53,6,2.4,5.8,8.1,22.16,6,LL/KL
HYB-Hips ,4184,10,9,3.4,8.1,10,19.04,5,2.5,7.4,9.2,28.47,7,LL/KL
HYB-Hips ,4183,9,9,2.3,5.4,6.8,21.11,2,2.6,5.3,6.2,13.54,4,LL/KL
HYB-Hips ,4182,8,9,4.6,7.6,9,19.67,3,3.8,6.6,9,22.04,5,LL/KL
HYB-Hips ,4181,7,9,3.4,7.5,9.5,20.14,3,3.4,7.8,9.6,18.31,6,LL/KL
HYB-Hips ,4180,6,9,3.5,7.5,9,21.35,4,4.8,8.5,9.7,21.9,5,LL/KL
HYB-Hips ,4179,5,9,3.2,6.7,8.5,24.52,3,3.3,7.4,8.9,18.65,5,LL/KL
HYB-Hips ,4178,4,9,3.4,7.8,9.6,20.85,2,2.9,6.9,8.9,29.61,4,LL/KL
HYB-Hips ,4177,3,9,4.3,8.4,9.7,18.6,4,4.9,8.2,9.9,26.77,6,LL/KL
HYB-Hips ,4176,2,9,2.3,5.6,7.2,19.97,2,2.5,6,7.7,17.2,6,LL/KL
HYB-Hips ,4201,2,10,3.3,6.5,8.2,18046,3,3.1,6.8,8.4,16.92,4,LL/KL
HYB-Hips ,4202,3,10,4.5,8.8,10.6,29.42,5,5.3,8.7,10.4,27.51,7,LL/KL
HYB-Hips ,4203,4,10,5,9.2,10.7,31.13,5,5.4,8.9,10.5,28.08,7,LL/KL
HYB-Hips ,4204,5,10,2.6,7.5,9.3,20.16,3,3.8,7.8,9.4,16.68,4,LL/KL
HYB-Hips ,4205,6,10,3.9,8.3,10.1,17.64,3,3.5,8.2,9.9,23.35,6,LL/KL
HYB-Hips ,4206,7,10,3.4,7.7,9.7,24.69,3,3.8,7.8,9.4,18.78,4,LL/KL
HYB-Hips ,4207,8,10,4.9,8.1,9.9,22.55,4,4.5,7.9,9.4,25.65,9,LL/KL
HYB-Hips ,4208,9,10,3.5,7.9,9.8,24.62,4,4,8.2,9.9,26.54,7,LL/KL
HYB-Hips ,4209,10,10,4,7.3,8.6,20.53,3,3.9,7.2,8.7,20.14,5,LL/KL
HYB-Hips ,4210,11,10,4.3,7.8,9.4,20.08,6,4.3,6.9,8.8,17.34,6,LL/KL
HYB-Hips ,4211,12,10,3,7.2,8.9,18.53,6,3,7.2,8.8,21.72,6,LL/KL
HYB-Hips ,4212,13,10,3.1,7.8,9.4,20.83,4,4.3,7.8,9.4,19.94,6,LL/KL
HYB-Hips ,4213,14,10,3.7,7.3,9.2,21.13,7,3.5,6.9,8.8,25.53,8,LL/KL
HYB-Hips ,4214,15,10,3.6,7.7,9.9,27.56,8,3.7,7.9,10,23.48,8,LL/KL
HYB-Hips ,4215,16,10,3.7,7.6,9.1,18.28,4,4.3,7.6,9.3,16.3,4,LL/KL
HYB-Hips ,4216,17,10,4.5,8.9,10.1,27.09,8,5,8.8,10.6,24.13,7,LL/KL
HYB-Hips ,4217,18,10,3.3,7.2,8.8,20.28,6,2.7,6.6,8.3,21.23,5,LL/KL
HYB-Hips ,4218,19,10,4.9,8.4,10.4,22.04,6,5,8.6,10.6,23.12,5,LL/KL
HYB-Hips ,4219,20,10,4.3,8.1,9.7,23.98,6,4.5,8.1,9.1,24.6,5,LL/KL
HYB-Hips ,4220,21,10,5.1,9.4,11,26.1,8,5.6,9.5,10.9,27.9,7,LL/KL
HYB-Hips ,4221,22,10,3.1,7.2,9,21.05,5,3.3,7.3,9.1,20.71,5,LL/KL
HYB-Hips ,4222,23,10,5,8.4,10,26.17,7,4.5,8.1,9.1,20.76,6,LL/KL
HYB-Hips ,4223,24,10,5,9.5,11.2,23.16,8,4.8,8.6,10.6,21.85,7,LL/KL
HYB-Hips ,4224,25,10,5.3,8.6,10.7,24.66,5,4.5,8.6,10.5,24.6,7,LL/KL
HYB-Hips ,4225,26,10,3.2,6.7,8.3,21.3,7,3.3,7,8.4,19.66,6,LL/KL
HYB-Hips ,4250,26,11,2.7,7,8.6,22.45,6,2.7,6.8,8.4,22.2,5,LL/KL
HYB-Hips ,4249,25,11,2.8,7,8.7,17.8,4,4,7.2,8.5,15.8,5,LL/KL
HYB-Hips ,4248,24,11,2.8,7,8.1,19.48,5,3.2,7.3,8.9,21.29,7,LL/KL
HYB-Hips ,4247,23,11,2.8,7.2,8.7,22.01,6,2.9,7,8.8,25.31,6,LL/KL
HYB-Hips ,4246,22,11,2.6,6.8,8.7,23.74,4,2.7,7,8.5,21.01,5,LL/KL
HYB-Hips ,4245,21,11,2.7,7.1,8.6,20.71,5,3.3,7,8.6,22,5,LL/KL
HYB-Hips ,4244,20,11,3.3,7,8.7,19.52,5,3.5,7.4,9.4,21.01,7,LL/KL
HYB-Hips ,4243,19,11,2.6,6.8,8.3,22.81,6,3,6.8,8.5,19.2,7,LL/KL
HYB-Hips ,4242,18,11,2.7,7,8.7,21.12,6,2.7,7.1,8.6,22.27,6,LL/KL
HYB-Hips ,4241,17,11,3.5,6.9,8.1,19.85,5,2.6,7,8.6,26.8,7,LL/KL
HYB-Hips ,4240,16,11,3.2,7,8.7,19.7,5,3.3,7.4,8.9,21.72,5,LL/KL
HYB-Hips ,4239,15,11,2.6,6.8,8.5,25.15,4,2.6,6.9,8.4,23.33,7,LL/KL
HYB-Hips ,4238,14,11,2.8,7.1,8.8,21.38,4,3.6,7.6,8.9,18.51,7,LL/KL
HYB-Hips ,4237,13,11,3.4,7.5,9.1,21.23,7,3,7.3,8.8,20,16,LL/KL
HYB-Hips ,4236,12,11,2.6,6.4,7.9,18.37,8,2.5,6,8.2,29.15,6,LL/KL
HYB-Hips ,4235,11,11,2.6,6.5,8.2,25.33,6,3.2,6.3,7.6,13.81,4,LL/KL
HYB-Hips ,4234,10,11,3,6.6,8.7,21.2,5,2.8,6.7,8.5,23.44,5,LL/KL
HYB-Hips ,4233,9,11,3,6.8,8.7,20.27,6,2.8,6.9,8.8,18,5,LL/KL
HYB-Hips ,4232,8,11,4.3,8.2,10.5,22.95,5,3.9,7.8,10.1,23.3,4,LL/KL
HYB-Hips ,4231,7,11,2.6,6,7.6,23.87,7,3.3,6.9,8.5,19.82,5,LL/KL
HYB-Hips ,4230,6,11,4.2,7.7,9.6,21.69,6,3.5,8.2,9.8,21.03,6,LL/KL
HYB-Hips ,4229,5,11,2.6,6.7,8.1,22.96,4,2.8,6.4,8.2,19.23,5,LL/KL
HYB-Hips ,4228,4,11,2.4,6,7.6,20.03,5,2.2,6.1,7,17.67,4,LL/KL
HYB-Hips ,4227,3,11,5.1,8.8,10.5,37.42,7,4.9,8.7,10.6,32.67,9,LL/KL
HYB-Hips ,4226,2,11,2.6,6,7.5,18.15,3,2.4,6,7.5,17.4,3,LL/KL
HYB-Hips ,5001,2,13,2.4,6,7.5,19.49,4,2,6.1,7.8,21.62,4,LL/KL
HYB-Hips ,5002,3,13,2.2,6.1,7.7,20.39,7,2.7,6.6,8.2,19.86,4,LL/KL
HYB-Hips ,5003,4,13,3.7,6.4,8.1,22.87,6,2.6,6.4,8.1,21.84,6,LL/KL
HYB-Hips ,5004,5,13,2.9,7,8.6,18.48,4,3,6.9,8.1,19.32,5,LL/KL
HYB-Hips ,5005,6,13,2.5,6.6,8.1,22.09,5,2.6,6.7,8.2,22.68,5,LL/KL
HYB-Hips ,5006,7,13,2.7,6.9,8.3,18.48,5,2.5,6.8,8.5,20.43,5,LL/KL
HYB-Hips ,5007,8,13,2.7,7,8.6,18.41,4,2.7,6.6,8.2,20.85,5,LL/KL
HYB-Hips ,5008,9,13,3.4,6.9,9,22.7,5,3.2,6.7,8.1,23.42,6,LL/KL
HYB-Hips ,5009,10,13,2.4,6.4,8.1,24.87,7,3.3,6.7,8,16.84,5,LL/KL
HYB-Hips ,5010,11,13,2.9,7,8.6,22.9,5,2.7,6.8,8.3,17.8,5,LL/KL
HYB-Hips ,5011,12,13,2.8,7,8.7,20.53,5,2.9,6.6,8.3,23.08,5,LL/KL
HYB-Hips ,5012,13,13,3,6.8,8.2,19.16,5,3,7,8.5,19.53,6,LL/KL
HYB-Hips ,5013,14,13,2.8,7,8.6,22.64,6,2.8,7,8.6,22.75,6,LL/KL
HYB-Hips ,5014,15,13,3,6.9,8.5,19.53,4,2.8,6.9,8.4,20.76,5,LL/KL
HYB-Hips ,5015,16,13,2.8,7.3,8.8,23.54,6,2.9,6.7,8.4,22.85,6,LL/KL
HYB-Hips ,5016,17,13,3.2,7.1,8.6,20.71,6,3.2,7,8.5,22.5,6,LL/KL
HYB-Hips ,5017,18,13,3.2,6.5,7.9,19.98,5,3.4,6.9,8.3,20.16,6,LL/KL
HYB-Hips ,5018,19,13,2.9,6.7,8.2,19.03,6,2.9,6.8,8.4,21.82,5,LL/KL
HYB-Hips ,5020,21,13,3,6.6,8,18.66,5,2.7,6.5,7.9,17.41,5,LL/KL
HYB-Hips ,5021,22,13,3.1,6.5,8,23.39,4,3.3,6.6,7.9,16.93,5,LL/KL
HYB-Hips ,5022,23,13,3.2,6.9,8.4,20.3,4,2.8,6.8,8.4,19.37,4,LL/KL
HYB-Hips ,5023,24,13,2.1,6.6,8.1,22.97,6,2.4,6.7,8.3,20.78,4,LL/KL
HYB-Hips ,5024,25,13,2.8,7,8.6,20.78,4,3.2,6.9,8.6,22.3,5,LL/KL
HYB-Hips ,5025,26,13,2.7,6.8,8.5,22.84,4,2.9,6.6,8.3,20.01,4,LL/KL
HYB-Hips ,5050,26,14,3.5,6.8,8.5,18.39,5,3,7,8.5,18.61,4,LL/KL
HYB-Hips ,5049,25,14,3.2,5.6,7,22.23,6,3.8,6.1,7.4,19.44,4,LL/KL
HYB-Hips ,5048,24,14,2.7,5.8,7.8,17.41,6,3.2,6.8,8.9,19.26,4,LL/KL
HYB-Hips ,5047,23,14,3,6.1,7.6,17.68,4,2.5,6.3,7.8,19.21,4,LL/KL
HYB-Hips ,5046,22,14,2.8,6.6,8.2,18.11,5,3.1,6.9,8.5,20.81,5,LL/KL
HYB-Hips ,5045,21,14,4.1,6.9,8.7,24.64,5,3,6.5,8.5,22.86,6,LL/KL
HYB-Hips ,5044,20,14,3.1,6.9,8.7,19.87,5,2.6,6.5,8.2,23.41,5,LL/KL
HYB-Hips ,5043,19,14,2.6,6.8,8.8,32.79,6,3.7,7.3,9.2,23.41,4,LL/KL
HYB-Hips ,5042,18,14,3.5,6.5,7.9,16.58,5,3,6.5,8,17.21,7,LL/KL
HYB-Hips ,5041,17,14,2.5,7.2,9.2,21.61,4,2.4,6.5,8.2,22.13,4,LL/KL
HYB-Hips ,5040,16,14,2.9,5.8,7.2,19.13,5,2.7,5.7,7.1,16.11,5,LL/KL
HYB-Hips ,5039,15,14,2.8,6.6,8.5,19.59,6,3.6,7.2,8.9,21.51,5,LL/KL
HYB-Hips ,5038,14,14,3,6.6,8.5,20.02,6,3,7.4,9.4,19.73,4,LL/KL
HYB-Hips ,5037,13,14,3.4,6.5,7.9,18.86,6,3.1,6.4,8.2,22.48,7,LL/KL
HYB-Hips ,5036,12,14,3.4,6.3,7.8,17.84,5,3.8,6.7,7.8,13.96,5,LL/KL
HYB-Hips ,5035,11,14,3.7,8.2,9.8,25.74,5,3.5,7.3,9.6,25.37,6,LL/KL
HYB-Hips ,5034,10,14,3.7,7.1,8.4,17.74,5,3.3,7,8.8,19.03,6,LL/KL
HYB-Hips ,5033,9,14,4,7.9,10.3,25.62,4,3.4,7.7,9.8,26.43,6,LL/KL
HYB-Hips ,5032,8,14,3.4,7.2,9,26.2,5,3.4,7,9.1,22.95,5,LL/KL
HYB-Hips ,5031,7,14,2.8,7,8.8,23.75,6,2.4,6.8,8.8,22.71,5,LL/KL
HYB-Hips ,5030,6,14,3.2,7.5,9.6,23.21,6,3.1,6.6,8.5,23.91,6,LL/KL
HYB-Hips ,5029,5,14,4.3,7.5,9,15.86,4,3,8.3,10.1,21.04,5,LL/KL
HYB-Hips ,5028,4,14,3,7.9,9.7,22.45,6,3.6,8,10.1,17.71,5,LL/KL
HYB-Hips ,5027,3,14,2.4,6.3,8.1,17.51,4,2.7,6.7,8.7,19.41,4,LL/KL
HYB-Hips ,5026,2,14,2.4,6.7,8.7,18.39,5,2.4,6.6,8.4,18.83,6,LL/KL
HYB-Hips ,5051,2,15,2.9,6.7,8.5,21.67,6,2.9,8.1,8.9,20.22,5,LL/KL
HYB-Hips ,5052,3,15,3.7,6.1,7.5,18.41,5,2.4,6.2,7.6,20.85,5,LL/KL
HYB-Hips ,5053,4,15,2.6,6.8,8.8,22.3,7,3,7.3,9.2,23.01,5,LL/KL
HYB-Hips ,5054,5,15,3.4,7.7,9.6,19.95,7,4,7.6,9.1,23.97,6,LL/KL
HYB-Hips ,5055,6,15,3.1,6.8,8.4,21.43,5,3.4,7.6,8.8,17.75,4,LL/KL
HYB-Hips ,5056,7,15,3,7,8.8,21.24,7,2.7,7.2,7.8,23.68,6,LL/KL
HYB-Hips ,5057,8,15,3.2,7.9,9.5,16.45,7,5,6,9.9,17.55,6,LL/KL
HYB-Hips ,5058,9,15,4,7.2,8.4,21.54,4,3.3,8,8.6,18.92,4,LL/KL
HYB-Hips ,5059,10,15,3.1,7.6,9.5,16.45,5,4.3,6.1,9.2,19.24,4,LL/KL
HYB-Hips ,5060,11,15,3.6,6.9,8.5,21.54,5,2.2,7.6,7.4,18.26,8,LL/KL
HYB-Hips ,5061,12,15,3,6.2,8.1,17.12,6,3.2,5.8,8.6,15.02,5,LL/KL
HYB-Hips ,5062,13,15,2.4,6.1,7.7,23.05,5,3.7,6.2,7.9,16.2,5,LL/KL
HYB-Hips ,5063,14,15,3.4,7.3,8.8,16.62,4,3.2,6.6,8.1,18.64,4,LL/KL
HYB-Hips ,5064,15,15,2.3,6.2,7.9,19,5,2.4,6,7.5,19.92,6,LL/KL
HYB-Hips ,5065,16,15,4.3,7.6,9.3,16.31,5,3.6,8,9,20.08,4,LL/KL
HYB-Hips ,5066,17,15,3,7.2,9.1,19.82,5,3.6,7,0.8,22.94,5,LL/KL
HYB-Hips ,5067,18,15,2.4,6.6,8.4,20.92,5,3.2,7.2,9,17.15,3,LL/KL
HYB-Hips ,5068,19,15,3.3,7,8.7,21.72,4,3.5,7.5,8.8,21.32,4,LL/KL
HYB-Hips ,5069,20,15,3.3,7,8.7,18.37,4,3.1,7,8.9,17.88,5,LL/KL
HYB-Hips ,5070,21,15,3.1,7.2,8.9,21.37,5,3.3,7,8.8,20.42,5,LL/KL
HYB-Hips ,5071,22,15,2.8,7,9.2,20.68,6,2.5,6.7,9,20.21,4,LL/KL
HYB-Hips ,5072,23,15,2.3,7,8.5,22.17,4,2.9,6.7,8.6,18.44,4,LL/KL
HYB-Hips ,5073,24,15,3,7,8.5,20.33,3,3.6,7.4,8.2,18.96,5,LL/KL
HYB-Hips ,5074,25,15,2.8,6.6,8,15.52,4,3.7,7,8.9,19.77,4,LL/KL
HYB-Hips ,5075,26,15,3.6,6.5,8.3,24.07,7,3.3,6.8,8.2,22.77,6,LL/KL
HYB-Hips ,5100,26,16,2.7,7.7,9.5,21.72,6,3,7.5,9.6,14.74,6,LL/KL
HYB-Hips ,5099,25,16,2.7,7.2,9,22.63,5,3.3,7.6,9.2,22.6,6,LL/KL
HYB-Hips ,5098,24,16,3,6.9,8.1,25.03,5,3.2,6.6,8.2,19.23,3,LL/KL
HYB-Hips ,5097,23,16,3.4,7,8.8,23.13,7.46,2.8,6.9,8.6,23,6,LL
HYB-Hips ,5096,22,16,2.7,6.5,8.1,24,8,3.1,6.7,8.4,22,7,LL
HYB-Hips ,5095,21,16,3.3,7.4,9.1,19,6,2.9,6.9,8.5,17,6,LL
HYB-Hips ,5094,20,16,3.8,7.5,9.2,17,9,3.6,7.5,8.8,17,5,LL
HYB-Hips ,5093,19,16,2.6,6.8,8.5,19,5,2.8,6.3,8,18.13,5,LL - KL
HYB-Hips ,5092,18,16,2.8,6.3,8.2,24,6,3.4,5.4,6.6,11.42,4,LL - KL
HYB-Hips ,5091,17,16,3.2,6.5,8.2,19,4,2.8,6.7,8.5,19,6,LL - KL
HYB-Hips ,5090,16,16,3.3,6.4,7.8,14,4,3.8,6.6,8,16,4,LL - KL
HYB-Hips ,5089,15,16,3.5,6.5,8.1,23,7,2.5,6.7,8,23,5,LL - KL
HYB-Hips ,5088,14,16,3,6.8,8.4,19,4,3.1,7,8.9,22,4,LL - KL
HYB-Hips ,5087,13,16,3,7.4,9.2,22,3,2.6,6.7,8.6,21,5,LL - KL
HYB-Hips ,5086,12,16,4,7.4,9,31,6,3.4,7.7,9.1,23,8,LL - KL
HYB-Hips ,5085,11,16,3.7,6.8,9.1,17,5,3.9,7.7,9.2,15,5,LL - KL
HYB-Hips ,5084,10,16,3.6,2.4,9.2,20,5,3.8,7.4,9.1,22,6,LL - KL
HYB-Hips ,5083,9,16,3.7,7.5,10,24,5,3.8,7.6,9.8,24,5,LL - KL
HYB-Hips ,5082,8,16,3.8,8.1,9.8,21,6,4.1,7.2,8.4,15,4,LL - KL
HYB-Hips ,5081,7,16,3.3,7.5,9.3,25,6,3.2,7.4,9.3,22,5,LL - KL
HYB-Hips ,5080,6,16,3.4,7.7,9.3,19,4.36,3.4,8.4,10.1,23,5,LL - KL
HYB-Hips ,5079,5,16,3.6,6.9,9.4,23,6.3,3.6,7.4,9.1,22,6,LL - KL
HYB-Hips ,5078,4,16,4.3,7.9,7.4,17,4,4.2,7.8,9.2,20,5,LL - KL
HYB-Hips ,5077,3,16,4.2,7.5,8.9,15,5,3,7.5,9.4,19,4,LL - KL
HYB-Hips ,5076,2,16,2.7,7.2,9,17,7,2.2,6.6,8.5,15,6,LL - KL
HYB-Hips ,5101,2,17,2.7,6.6,8.7,19.15,3.2,2.8,7,8.8,16.98,3,LL - KL
HYB-Hips ,5102,3,17,2.8,6.5,8.4,22.95,7.92,3,6.7,8.5,21.46,7.43,LL
HYB-Hips ,5103,4,17,3.7,7.9,9.9,19.88,9.72,4.4,8.2,9.9,22,9,LL
HYB-Hips ,5104,5,17,2.8,7.4,9.3,25,7,3.6,6.9,8.6,16,6,LL
HYB-Hips ,5105,6,17,4.2,8,9.8,21.22,11.38,3.8,7.4,9,14.43,7.37,LL
HYB-Hips ,5106,7,17,4.2,7.8,9.5,20.01,13.34,4.1,7.9,9.6,19.25,12.56,LL
HYB-Hips ,5107,8,17,9.7,7,8.8,21.32,8.83,3.3,7.1,9.3,23.97,9.68,LL
HYB-Hips ,5108,9,17,4.4,7.2,8.8,17.04,8.68,2.9,7.4,8.3,11.33,8.04,LL
HYB-Hips ,5109,10,17,2.8,6.4,7.8,18.79,5.56,3.3,7.1,8.7,21.32,5.13,LL
HYB-Hips ,5110,11,17,4.6,7.4,8.7,21.98,4.13,3.7,8.3,9.8,25.64,10.09,LL
HYB-Hips ,5111,12,17,3.6,7.6,9.5,22.17,5.13,2.8,7.2,9.1,18.64,9.77,LL
HYB-Hips ,5112,13,17,3.8,6.5,8.3,15.45,8.76,2.6,5.6,7.2,19.3,5.79,LL
HYB-Hips ,5113,14,17,3.2,7.4,9.1,22.08,7.51,2.7,6.9,8.5,21.71,6.71,LL
HYB-Hips ,5114,15,17,2.4,6.6,8.3,22.11,5.83,2.7,6.5,8.2,17.63,5.69,LL
HYB-Hips ,5115,16,17,2.4,6.7,8.4,22.44,6.98,2.5,6.8,8.3,20.06,6.41,LL
HYB-Hips ,5116,17,17,2.6,6.8,8.6,21.48,8.82,2.9,6.7,8.4,20.04,6.06,LL
HYB-Hips ,5117,18,17,2.6,6.1,8.2,21.71,7.13,2.8,6.3,8,19.55,6.06,LL
